disease,symptoms,original_symptoms
táo bón,"tôi đang gặp phải sốt đồng thời đau khi đi đại tiện, sa trực tràng","sốt, đau khi đi đại tiện, sa trực tràng"
táo bón,"tôi đang gặp phải vết nứt hậu môn cùng với chướng bụng, máu trong phân","vết nứt hậu môn, chướng bụng, máu trong phân"
táo bón,"tôi có triệu chứng chướng bụng cùng với đau khi đi đại tiện, nôn","chướng bụng, đau khi đi đại tiện, nôn"
táo bón,"tôi bị vết nứt hậu môn cùng với giảm cân, sa trực tràng","vết nứt hậu môn, giảm cân, sa trực tràng"
táo bón,"tôi đang có máu trong phân và sốt, sa trực tràng","máu trong phân, sốt, sa trực tràng"
táo bón,"tôi đang gặp phải máu trong phân đồng thời đau bụng, đau khi đi đại tiện","máu trong phân, đau bụng, đau khi đi đại tiện"
táo bón,"tôi đang có vết nứt hậu môn ngoài ra còn máu trong phân, sốt","vết nứt hậu môn, máu trong phân, sốt"
táo bón,"tôi gặp phải vết nứt hậu môn kèm theo đau bụng, sa trực tràng","vết nứt hậu môn, đau bụng, sa trực tràng"
táo bón,"tôi cảm thấy chướng bụng và đau bụng, nôn","chướng bụng, đau bụng, nôn"
táo bón,"tôi đang gặp phải giảm cân ngoài ra còn sốt, nôn","giảm cân, sốt, nôn"
táo bón,"tôi đang có vết nứt hậu môn kèm theo giảm cân, sốt","vết nứt hậu môn, giảm cân, sốt"
táo bón,"tôi bị vết nứt hậu môn và đau bụng, nôn","vết nứt hậu môn, đau bụng, nôn"
táo bón,"tôi cảm thấy máu trong phân ngoài ra còn sốt, đau khi đi đại tiện","máu trong phân, sốt, đau khi đi đại tiện"
táo bón,"tôi xuất hiện vết nứt hậu môn cùng với máu trong phân, đau khi đi đại tiện","vết nứt hậu môn, máu trong phân, đau khi đi đại tiện"
viêm mũi họng,"tôi gặp phải đau khắp người đồng thời sốt nhẹ, nghẹt mũi, ho","đau khắp người, sốt nhẹ, nghẹt mũi, ho"
viêm mũi họng,"tôi bị chảy dịch mũi sau cùng với mắt ngứa, mệt mỏi, chảy nước mắt","chảy dịch mũi sau, mắt ngứa, mệt mỏi, chảy nước mắt"
viêm mũi họng,"tôi đang gặp phải đau khắp người và hắt xì, rát họng, chảy nước mũi","đau khắp người, hắt xì, rát họng, chảy nước mũi"
viêm mũi họng,"tôi có dấu hiệu đau khắp người kèm theo sốt nhẹ, chảy dịch mũi sau, mắt ngứa","đau khắp người, sốt nhẹ, chảy dịch mũi sau, mắt ngứa"
viêm mũi họng,"tôi cảm thấy nhức đầu cùng với sốt nhẹ, đau, chảy nước mắt","nhức đầu, sốt nhẹ, đau, chảy nước mắt"
viêm mũi họng,"tôi có triệu chứng nhức đầu ngoài ra còn đau, mắt ngứa, ho","nhức đầu, đau, mắt ngứa, ho"
viêm mũi họng,"tôi xuất hiện đau kèm theo mắt ngứa, nghẹt mũi, ho","đau, mắt ngứa, nghẹt mũi, ho"
viêm mũi họng,"tôi phát hiện sốt nhẹ cùng với hắt xì, nghẹt mũi, mệt mỏi","sốt nhẹ, hắt xì, nghẹt mũi, mệt mỏi"
viêm mũi họng,"tôi đang gặp phải hắt xì cùng với đau, chảy nước mũi, chảy nước mắt","hắt xì, đau, chảy nước mũi, chảy nước mắt"
viêm mũi họng,"tôi phát hiện đau khắp người đồng thời hắt xì, mắt ngứa, chảy nước mũi","đau khắp người, hắt xì, mắt ngứa, chảy nước mũi"
viêm mũi họng,"tôi có dấu hiệu rát họng ngoài ra còn mắt ngứa, chảy nước mũi, ho","rát họng, mắt ngứa, chảy nước mũi, ho"
viêm mũi họng,"tôi xuất hiện rát họng và chảy dịch mũi sau, đau, mắt ngứa","rát họng, chảy dịch mũi sau, đau, mắt ngứa"
viêm mũi họng,"tôi đang có đau khắp người và rát họng, nghẹt mũi, ho","đau khắp người, rát họng, nghẹt mũi, ho"
viêm mũi họng,"tôi phát hiện nhức đầu và sốt nhẹ, chảy dịch mũi sau, đau","nhức đầu, sốt nhẹ, chảy dịch mũi sau, đau"
viêm mũi họng,"tôi xuất hiện nhức đầu đồng thời rát họng, chảy dịch mũi sau, chảy nước mũi","nhức đầu, rát họng, chảy dịch mũi sau, chảy nước mũi"
khô mắt,tôi đang có cộm như có hạt sạn trong mắt và cảm giác khô rát,"cộm như có hạt sạn trong mắt, cảm giác khô rát"
khô mắt,tôi có dấu hiệu cộm như có hạt sạn trong mắt cùng với mắt bị đỏ,"cộm như có hạt sạn trong mắt, mắt bị đỏ"
khô mắt,tôi cảm thấy mắt bị đỏ đồng thời giảm thị lực,"mắt bị đỏ, giảm thị lực"
khô mắt,tôi đang có mắt bị đỏ đồng thời cảm giác khô rát,"mắt bị đỏ, cảm giác khô rát"
khô mắt,tôi cảm thấy mắt bị nóng cùng với giảm thị lực,"mắt bị nóng, giảm thị lực"
khô mắt,tôi gặp phải giảm thị lực kèm theo cảm giác khô rát,"giảm thị lực, cảm giác khô rát"
khô mắt,tôi xuất hiện mắt bị nóng kèm theo cảm giác khô rát,"mắt bị nóng, cảm giác khô rát"
khô mắt,tôi bị mắt bị nóng cùng với bị chảy nước mắt,"mắt bị nóng, bị chảy nước mắt"
khô mắt,tôi có triệu chứng cộm như có hạt sạn trong mắt đồng thời bị chảy nước mắt,"cộm như có hạt sạn trong mắt, bị chảy nước mắt"
khô mắt,tôi gặp phải cộm như có hạt sạn trong mắt và giảm thị lực,"cộm như có hạt sạn trong mắt, giảm thị lực"
khô mắt,tôi gặp phải mắt bị đỏ đồng thời bị chảy nước mắt,"mắt bị đỏ, bị chảy nước mắt"
khô mắt,tôi đang gặp phải bị chảy nước mắt đồng thời cảm giác khô rát,"bị chảy nước mắt, cảm giác khô rát"
khô mắt,tôi phát hiện giảm thị lực kèm theo bị chảy nước mắt,"giảm thị lực, bị chảy nước mắt"
khô mắt,tôi có triệu chứng mắt bị nóng ngoài ra còn cộm như có hạt sạn trong mắt,"mắt bị nóng, cộm như có hạt sạn trong mắt"
khô mắt,tôi đang có mắt bị nóng và mắt bị đỏ,"mắt bị nóng, mắt bị đỏ"
hạ canxi máu,tôi xuất hiện co thắt cơ (dấu Trousseau) cùng với rối loạn nhịp tim,"co thắt cơ (dấu Trousseau), rối loạn nhịp tim"
hạ canxi máu,tôi phát hiện chuột rút ngoài ra còn rối loạn nhịp tim,"chuột rút, rối loạn nhịp tim"
hạ canxi máu,tôi bị trầm cảm đồng thời chuột rút,"trầm cảm, chuột rút"
hạ canxi máu,tôi gặp phải trầm cảm và tăng phản xạ gân xương (dấu Chvostek),"trầm cảm, tăng phản xạ gân xương (dấu Chvostek)"
hạ canxi máu,tôi xuất hiện co giật đồng thời co thắt cơ (dấu Trousseau),"co giật, co thắt cơ (dấu Trousseau)"
hạ canxi máu,tôi gặp phải co giật ngoài ra còn rối loạn nhịp tim,"co giật, rối loạn nhịp tim"
hạ canxi máu,tôi cảm thấy trầm cảm cùng với rối loạn nhịp tim,"trầm cảm, rối loạn nhịp tim"
hạ canxi máu,tôi cảm thấy trầm cảm đồng thời rối loạn cảm giác bàn tay bàn chân,"trầm cảm, rối loạn cảm giác bàn tay bàn chân"
hạ canxi máu,tôi đang có trầm cảm và co thắt cơ (dấu Trousseau),"trầm cảm, co thắt cơ (dấu Trousseau)"
hạ canxi máu,tôi có triệu chứng rối loạn cảm giác bàn tay bàn chân ngoài ra còn co thắt cơ (dấu Trousseau),"rối loạn cảm giác bàn tay bàn chân, co thắt cơ (dấu Trousseau)"
hạ canxi máu,tôi đang gặp phải trầm cảm kèm theo co giật,"trầm cảm, co giật"
hạ canxi máu,tôi phát hiện đau thắt bụng đồng thời chuột rút,"đau thắt bụng, chuột rút"
hạ canxi máu,tôi đang gặp phải co giật đồng thời rối loạn cảm giác bàn tay bàn chân,"co giật, rối loạn cảm giác bàn tay bàn chân"
hạ canxi máu,tôi cảm thấy đau thắt bụng cùng với rối loạn cảm giác bàn tay bàn chân,"đau thắt bụng, rối loạn cảm giác bàn tay bàn chân"
hạ canxi máu,tôi cảm thấy tăng phản xạ gân xương (dấu Chvostek) kèm theo rối loạn nhịp tim,"tăng phản xạ gân xương (dấu Chvostek), rối loạn nhịp tim"
sốt phát ban,"tôi gặp phải phát ban cùng với chán ăn, viêm họng","phát ban, chán ăn, viêm họng"
sốt phát ban,"tôi gặp phải hạch bạch huyết sưng lên đồng thời viêm họng, Sốt cao trên 39.4 độ C","hạch bạch huyết sưng lên, viêm họng, Sốt cao trên 39.4 độ C"
sốt phát ban,"tôi đang gặp phải chán ăn ngoài ra còn sưng mí mắt, ho","chán ăn, sưng mí mắt, ho"
sốt phát ban,"tôi xuất hiện ho đồng thời sổ mũi, hạch bạch huyết sưng lên","ho, sổ mũi, hạch bạch huyết sưng lên"
sốt phát ban,"tôi đang có phát ban và khó chịu, viêm họng","phát ban, khó chịu, viêm họng"
sốt phát ban,"tôi xuất hiện phát ban cùng với chán ăn, hạch bạch huyết sưng lên","phát ban, chán ăn, hạch bạch huyết sưng lên"
sốt phát ban,"tôi xuất hiện phát ban cùng với sổ mũi, quấy khóc","phát ban, sổ mũi, quấy khóc"
sốt phát ban,"tôi gặp phải tiêu chảy và khó chịu, viêm họng","tiêu chảy, khó chịu, viêm họng"
sốt phát ban,"tôi xuất hiện phát ban đồng thời sưng mí mắt, Sốt cao trên 39.4 độ C","phát ban, sưng mí mắt, Sốt cao trên 39.4 độ C"
sốt phát ban,"tôi xuất hiện tiêu chảy đồng thời ho, khó chịu","tiêu chảy, ho, khó chịu"
sốt phát ban,"tôi có dấu hiệu sưng mí mắt đồng thời sổ mũi, Sốt cao trên 39.4 độ C","sưng mí mắt, sổ mũi, Sốt cao trên 39.4 độ C"
sốt phát ban,"tôi đang có chán ăn cùng với hạch bạch huyết sưng lên, khó chịu","chán ăn, hạch bạch huyết sưng lên, khó chịu"
sốt phát ban,"tôi có dấu hiệu sưng mí mắt đồng thời viêm họng, quấy khóc","sưng mí mắt, viêm họng, quấy khóc"
sốt phát ban,"tôi đang có chán ăn cùng với sổ mũi, Sốt cao trên 39.4 độ C","chán ăn, sổ mũi, Sốt cao trên 39.4 độ C"
sốt phát ban,"tôi gặp phải tiêu chảy kèm theo hạch bạch huyết sưng lên, Sốt cao trên 39.4 độ C","tiêu chảy, hạch bạch huyết sưng lên, Sốt cao trên 39.4 độ C"
viêm xương,"tôi có triệu chứng xương bị biến dạng cùng với da nhợt nhạt, mất cơ năng, mạch nhanh, rét run","xương bị biến dạng, da nhợt nhạt, mất cơ năng, mạch nhanh, rét run"
viêm xương,"tôi xuất hiện xương viêm to xù xì ngoài ra còn giảm cơ năng, tĩnh mạch dưới da nổi, da tím đỏ, mạch nhanh","xương viêm to xù xì, giảm cơ năng, tĩnh mạch dưới da nổi, da tím đỏ, mạch nhanh"
viêm xương,"tôi cảm thấy da nhợt nhạt kèm theo khớp sưng to, viêm khớp mủ, đau dữ dội tại vùng gần khớp, sốt cao","da nhợt nhạt, khớp sưng to, viêm khớp mủ, đau dữ dội tại vùng gần khớp, sốt cao"
viêm xương,"tôi có triệu chứng xương bị biến dạng đồng thời khớp sưng to, giảm cơ năng, phần mềm sưng nhẹ, mạch nhanh","xương bị biến dạng, khớp sưng to, giảm cơ năng, phần mềm sưng nhẹ, mạch nhanh"
viêm xương,"tôi có dấu hiệu da nhợt nhạt cùng với khớp sưng to, giảm cơ năng, tĩnh mạch dưới da nổi, sốt cao","da nhợt nhạt, khớp sưng to, giảm cơ năng, tĩnh mạch dưới da nổi, sốt cao"
viêm xương,"tôi bị co giật đồng thời viêm khớp mủ, tĩnh mạch dưới da nổi, mạch nhanh, sốt cao","co giật, viêm khớp mủ, tĩnh mạch dưới da nổi, mạch nhanh, sốt cao"
viêm xương,"tôi đang có da nhợt nhạt cùng với xương viêm to xù xì, phần mềm sưng nhẹ, mạch nhanh, sốt cao","da nhợt nhạt, xương viêm to xù xì, phần mềm sưng nhẹ, mạch nhanh, sốt cao"
viêm xương,"tôi phát hiện co giật ngoài ra còn xương bị biến dạng, khớp sưng to, viêm khớp mủ, mạch nhanh","co giật, xương bị biến dạng, khớp sưng to, viêm khớp mủ, mạch nhanh"
viêm xương,"tôi phát hiện đau âm ỉ tái phát đồng thời xương viêm to xù xì, viêm khớp mủ, đau dữ dội tại vùng gần khớp, da tím đỏ","đau âm ỉ tái phát, xương viêm to xù xì, viêm khớp mủ, đau dữ dội tại vùng gần khớp, da tím đỏ"
viêm xương,"tôi bị co giật đồng thời giảm cơ năng, phần mềm sưng nhẹ, tĩnh mạch dưới da nổi, mạch nhanh","co giật, giảm cơ năng, phần mềm sưng nhẹ, tĩnh mạch dưới da nổi, mạch nhanh"
viêm xương,"tôi gặp phải da nhợt nhạt và phần mềm sưng nhẹ, tĩnh mạch dưới da nổi, rét run, sưng toàn bộ chi viêm","da nhợt nhạt, phần mềm sưng nhẹ, tĩnh mạch dưới da nổi, rét run, sưng toàn bộ chi viêm"
viêm xương,"tôi phát hiện co giật cùng với xương viêm to xù xì, viêm khớp mủ, tĩnh mạch dưới da nổi, mạch nhanh","co giật, xương viêm to xù xì, viêm khớp mủ, tĩnh mạch dưới da nổi, mạch nhanh"
viêm xương,"tôi có dấu hiệu xương bị biến dạng kèm theo giảm cơ năng, phần mềm sưng nhẹ, tĩnh mạch dưới da nổi, sưng toàn bộ chi viêm","xương bị biến dạng, giảm cơ năng, phần mềm sưng nhẹ, tĩnh mạch dưới da nổi, sưng toàn bộ chi viêm"
viêm xương,"tôi gặp phải đau âm ỉ tái phát kèm theo viêm khớp mủ, phần mềm sưng nhẹ, da tím đỏ, rét run","đau âm ỉ tái phát, viêm khớp mủ, phần mềm sưng nhẹ, da tím đỏ, rét run"
viêm xương,"tôi phát hiện da nhợt nhạt cùng với khớp sưng to, giảm cơ năng, mất cơ năng, mạch nhanh","da nhợt nhạt, khớp sưng to, giảm cơ năng, mất cơ năng, mạch nhanh"
viêm khớp,"tôi xuất hiện sưng và cứng khớp kèm theo phát ban, khó thở","sưng và cứng khớp, phát ban, khó thở"
viêm khớp,"tôi có triệu chứng đỏ vùng da quanh khớp và viêm tại chỗ, khó thở","đỏ vùng da quanh khớp, viêm tại chỗ, khó thở"
viêm khớp,"tôi phát hiện đỏ vùng da quanh khớp cùng với phát ban, ngứa","đỏ vùng da quanh khớp, phát ban, ngứa"
viêm khớp,"tôi xuất hiện phát ban đồng thời vận động bị hạn chế, ngứa","phát ban, vận động bị hạn chế, ngứa"
viêm khớp,"tôi gặp phải sưng và cứng khớp đồng thời viêm tại chỗ, ngứa","sưng và cứng khớp, viêm tại chỗ, ngứa"
viêm khớp,"tôi xuất hiện sốt đồng thời phát ban, viêm tại chỗ","sốt, phát ban, viêm tại chỗ"
viêm khớp,"tôi đang gặp phải sưng và cứng khớp ngoài ra còn đỏ vùng da quanh khớp, viêm tại chỗ","sưng và cứng khớp, đỏ vùng da quanh khớp, viêm tại chỗ"
viêm khớp,"tôi bị đau khớp đồng thời phát ban, khó thở","đau khớp, phát ban, khó thở"
viêm khớp,"tôi cảm thấy gầy sút cân và nghe tiếng lạo xạo khi cử động các khớp, vận động bị hạn chế","gầy sút cân, nghe tiếng lạo xạo khi cử động các khớp, vận động bị hạn chế"
viêm khớp,"tôi xuất hiện gầy sút cân ngoài ra còn phát ban, vận động bị hạn chế","gầy sút cân, phát ban, vận động bị hạn chế"
viêm khớp,"tôi đang có sốt kèm theo phát ban, khó thở","sốt, phát ban, khó thở"
viêm khớp,"tôi phát hiện gầy sút cân và đau khớp, phát ban","gầy sút cân, đau khớp, phát ban"
viêm khớp,"tôi đang gặp phải đỏ vùng da quanh khớp cùng với viêm tại chỗ, ngứa","đỏ vùng da quanh khớp, viêm tại chỗ, ngứa"
viêm khớp,"tôi gặp phải đau khớp kèm theo đỏ vùng da quanh khớp, phát ban","đau khớp, đỏ vùng da quanh khớp, phát ban"
viêm khớp,"tôi phát hiện gầy sút cân đồng thời vận động bị hạn chế, ngứa","gầy sút cân, vận động bị hạn chế, ngứa"
đau dạ dày,"tôi gặp phải đau âm ỉ giữa bụng và nhanh no, đầy hơi","đau âm ỉ giữa bụng, nhanh no, đầy hơi"
đau dạ dày,"tôi bị ăn uống kém kèm theo hơi thở có mùi chua, đầy hơi","ăn uống kém, hơi thở có mùi chua, đầy hơi"
đau dạ dày,"tôi xuất hiện hơi thở có mùi hôi và đau âm ỉ giữa bụng, nhanh no","hơi thở có mùi hôi, đau âm ỉ giữa bụng, nhanh no"
đau dạ dày,"tôi có triệu chứng đau âm ỉ giữa bụng cùng với ợ hơi, trào ngược dạ axit","đau âm ỉ giữa bụng, ợ hơi, trào ngược dạ axit"
đau dạ dày,"tôi bị hơi thở có mùi hôi và nhanh no, đầy hơi","hơi thở có mùi hôi, nhanh no, đầy hơi"
đau dạ dày,"tôi xuất hiện đau âm ỉ giữa bụng kèm theo ợ hơi, buồn nôn","đau âm ỉ giữa bụng, ợ hơi, buồn nôn"
đau dạ dày,"tôi đang gặp phải hơi thở có mùi hôi và ợ hơi, hơi thở có mùi chua","hơi thở có mùi hôi, ợ hơi, hơi thở có mùi chua"
đau dạ dày,"tôi bị hơi thở có mùi chua ngoài ra còn nhanh no, đầy hơi","hơi thở có mùi chua, nhanh no, đầy hơi"
đau dạ dày,"tôi phát hiện hơi thở có mùi hôi cùng với đau âm ỉ giữa bụng, đầy hơi","hơi thở có mùi hôi, đau âm ỉ giữa bụng, đầy hơi"
đau dạ dày,"tôi cảm thấy ợ chua kèm theo đau sau khi ăn, trào ngược dạ axit","ợ chua, đau sau khi ăn, trào ngược dạ axit"
đau dạ dày,"tôi xuất hiện đau sau khi ăn kèm theo hơi thở có mùi chua, đầy hơi","đau sau khi ăn, hơi thở có mùi chua, đầy hơi"
đau dạ dày,"tôi đang gặp phải ăn uống kém cùng với ợ hơi, hơi thở có mùi chua","ăn uống kém, ợ hơi, hơi thở có mùi chua"
đau dạ dày,"tôi gặp phải ợ chua và hơi thở có mùi chua, đầy hơi","ợ chua, hơi thở có mùi chua, đầy hơi"
đau dạ dày,"tôi có triệu chứng đau sau khi đói và ợ chua, đầy hơi","đau sau khi đói, ợ chua, đầy hơi"
đau dạ dày,"tôi có dấu hiệu đau sau khi đói ngoài ra còn trào ngược dạ axit, hơi thở có mùi chua","đau sau khi đói, trào ngược dạ axit, hơi thở có mùi chua"
viêm xoang,"tôi gặp phải nghẹt mũi ngoài ra còn chảy nước mũi, ho, đau nhức thái dương","nghẹt mũi, chảy nước mũi, ho, đau nhức thái dương"
viêm xoang,"tôi có dấu hiệu đau nhức vùng trán cùng với giảm khứu giác, nặng mặt, sốt","đau nhức vùng trán, giảm khứu giác, nặng mặt, sốt"
viêm xoang,"tôi phát hiện đau nhức vùng trán kèm theo đau nhức gò má, đau nhức thái dương, đau đầu","đau nhức vùng trán, đau nhức gò má, đau nhức thái dương, đau đầu"
viêm xoang,"tôi đang có đau nhức vùng trán đồng thời nghẹt mũi, chảy nước mũi, mất khứu giác","đau nhức vùng trán, nghẹt mũi, chảy nước mũi, mất khứu giác"
viêm xoang,"tôi phát hiện đau nhức vùng trán kèm theo sốt, chảy nước mũi, đau nhức gò má","đau nhức vùng trán, sốt, chảy nước mũi, đau nhức gò má"
viêm xoang,"tôi cảm thấy giảm khứu giác cùng với sốt, ho, đau nhức thái dương","giảm khứu giác, sốt, ho, đau nhức thái dương"
viêm xoang,"tôi có dấu hiệu sổ mũi cùng với đau nhức gò má, ho, đau nhức thái dương","sổ mũi, đau nhức gò má, ho, đau nhức thái dương"
viêm xoang,"tôi đang gặp phải giảm khứu giác đồng thời chảy nước mũi, đau nhức gò má, đau đầu","giảm khứu giác, chảy nước mũi, đau nhức gò má, đau đầu"
viêm xoang,"tôi có triệu chứng sổ mũi cùng với nghẹt mũi, mất khứu giác, đau đầu","sổ mũi, nghẹt mũi, mất khứu giác, đau đầu"
viêm xoang,"tôi gặp phải nghẹt mũi và nặng mặt, chảy nước mũi, đau nhức thái dương","nghẹt mũi, nặng mặt, chảy nước mũi, đau nhức thái dương"
viêm xoang,"tôi đang có sổ mũi kèm theo nghẹt mũi, đau nhức gò má, mất khứu giác","sổ mũi, nghẹt mũi, đau nhức gò má, mất khứu giác"
viêm xoang,"tôi có triệu chứng đau nhức vùng trán đồng thời chảy nước mũi, đau nhức gò má, mất khứu giác","đau nhức vùng trán, chảy nước mũi, đau nhức gò má, mất khứu giác"
viêm xoang,"tôi bị sổ mũi cùng với đau nhức vùng trán, sốt, đau nhức gò má","sổ mũi, đau nhức vùng trán, sốt, đau nhức gò má"
viêm xoang,"tôi có dấu hiệu chảy nước mũi đồng thời hắt xì, đau nhức gò má, đau đầu","chảy nước mũi, hắt xì, đau nhức gò má, đau đầu"
viêm xoang,"tôi bị sổ mũi cùng với đau nhức vùng trán, giảm khứu giác, đau đầu","sổ mũi, đau nhức vùng trán, giảm khứu giác, đau đầu"
viêm mũi dị ứng,"tôi đang có nhột cay trong mũi ngoài ra còn đỏ mắt, cay mắt, chảy nước mắt","nhột cay trong mũi, đỏ mắt, cay mắt, chảy nước mắt"
viêm mũi dị ứng,"tôi có dấu hiệu nhột cay trong mũi cùng với chảy nước mũi, sợ ánh nắng, viêm họng","nhột cay trong mũi, chảy nước mũi, sợ ánh nắng, viêm họng"
viêm mũi dị ứng,"tôi có triệu chứng thở bằng miệng kèm theo đỏ mắt, viêm phế quản, hắt xì liên tục","thở bằng miệng, đỏ mắt, viêm phế quản, hắt xì liên tục"
viêm mũi dị ứng,"tôi có dấu hiệu đau đầu và chảy nước mũi, sợ ánh nắng, viêm phế quản","đau đầu, chảy nước mũi, sợ ánh nắng, viêm phế quản"
viêm mũi dị ứng,"tôi đang gặp phải thở bằng miệng ngoài ra còn mệt mỏi, chảy nước mắt, hắt xì liên tục","thở bằng miệng, mệt mỏi, chảy nước mắt, hắt xì liên tục"
viêm mũi dị ứng,"tôi có dấu hiệu thở bằng miệng kèm theo mệt mỏi, chảy nước mũi, sợ ánh nắng","thở bằng miệng, mệt mỏi, chảy nước mũi, sợ ánh nắng"
viêm mũi dị ứng,"tôi xuất hiện chảy nước mắt ngoài ra còn viêm phế quản, hắt xì liên tục, viêm họng","chảy nước mắt, viêm phế quản, hắt xì liên tục, viêm họng"
viêm mũi dị ứng,"tôi có dấu hiệu giảm trí nhớ kèm theo cay mắt, chảy nước mũi, viêm phế quản","giảm trí nhớ, cay mắt, chảy nước mũi, viêm phế quản"
viêm mũi dị ứng,"tôi có dấu hiệu giảm trí nhớ ngoài ra còn đau đầu, mệt mỏi, viêm họng","giảm trí nhớ, đau đầu, mệt mỏi, viêm họng"
viêm mũi dị ứng,"tôi đang có mệt mỏi và sợ ánh nắng, hắt xì liên tục, viêm họng","mệt mỏi, sợ ánh nắng, hắt xì liên tục, viêm họng"
viêm mũi dị ứng,"tôi cảm thấy đỏ mắt kèm theo chảy nước mũi, chảy nước mắt, viêm họng","đỏ mắt, chảy nước mũi, chảy nước mắt, viêm họng"
viêm mũi dị ứng,"tôi có dấu hiệu giảm trí nhớ đồng thời mệt mỏi, sợ ánh nắng, hắt xì liên tục","giảm trí nhớ, mệt mỏi, sợ ánh nắng, hắt xì liên tục"
viêm mũi dị ứng,"tôi đang có thở bằng miệng và mệt mỏi, hắt xì liên tục, viêm họng","thở bằng miệng, mệt mỏi, hắt xì liên tục, viêm họng"
viêm mũi dị ứng,"tôi cảm thấy giảm trí nhớ cùng với đau đầu, chảy nước mũi, chảy nước mắt","giảm trí nhớ, đau đầu, chảy nước mũi, chảy nước mắt"
viêm mũi dị ứng,"tôi bị thở bằng miệng và cay mắt, chảy nước mũi, sợ ánh nắng","thở bằng miệng, cay mắt, chảy nước mũi, sợ ánh nắng"
thiếu máu,"tôi xuất hiện da xanh xao kèm theo mệt mỏi, ù tai","da xanh xao, mệt mỏi, ù tai"
thiếu máu,"tôi gặp phải nhịp tim nhanh ngoài ra còn da nhợt nhạt, mệt mỏi","nhịp tim nhanh, da nhợt nhạt, mệt mỏi"
thiếu máu,"tôi có triệu chứng niêm mạc xanh xao kèm theo hoa mắt, ù tai","niêm mạc xanh xao, hoa mắt, ù tai"
thiếu máu,"tôi bị hồi hợp đồng thời da xanh xao, ù tai","hồi hợp, da xanh xao, ù tai"
thiếu máu,"tôi xuất hiện niêm mạc xanh xao cùng với nhịp tim nhanh, da nhợt nhạt","niêm mạc xanh xao, nhịp tim nhanh, da nhợt nhạt"
thiếu máu,"tôi xuất hiện chóng mặt ngoài ra còn nhịp tim nhanh, hoa mắt","chóng mặt, nhịp tim nhanh, hoa mắt"
thiếu máu,"tôi phát hiện niêm mạc xanh xao kèm theo da xanh xao, ù tai","niêm mạc xanh xao, da xanh xao, ù tai"
thiếu máu,"tôi có dấu hiệu chóng mặt cùng với da xanh xao, hoa mắt","chóng mặt, da xanh xao, hoa mắt"
thiếu máu,"tôi đang gặp phải niêm mạc xanh xao kèm theo nhịp tim nhanh, hoa mắt","niêm mạc xanh xao, nhịp tim nhanh, hoa mắt"
thiếu máu,"tôi có triệu chứng hoa mắt ngoài ra còn da nhợt nhạt, mệt mỏi","hoa mắt, da nhợt nhạt, mệt mỏi"
